Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Aarhus Ungdom, kod-aarhus-ungdom;1524;0;1524;29700;63;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dukasku, dukasku;0;0;0;0;51;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dance Beat Studios, dbs;2703;2703;0;45293;14;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Teologi for voksne, teologiforvoksne;4911;0;4911;84290;303;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Brørup Børnefilmklub, broerup-boernefilmklub;0;0;0;0;11;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Jægerforbund, dj-kursus;53050;0;53050;1228360;1855;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hindsholm Skyttecenter, hindsholmskyttecenter;1888;0;1888;32750;131;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Play the Game, playthegame;32194;0;32194;784519;863;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Hjørring, kod-hjoerring;1711;0;1711;35600;57;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Ribe Musikforening, ribemusikforening;140;140;0;1884;13;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Brøndby IF Women, brondbyifwomen;1589;0;1589;9325;1906;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Brønderslev Jagtforening, broenderslevjagtforening;625;0;625;12579;21;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Gjellerup Sdr., gymdanmark-herning;20322;0;20322;258975;1678;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kjellerupegnens Filmklub, kjellerupegnensfilmklub;18;18;0;208;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DDD-Medlemsforeninger, ddd-medlemsforeninger;12691;11735;956;436365;153;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Golf-event, golf-event;4374;0;4374;104400;32;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Sæby, kod-saeby;1777;0;1777;37600;52;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Nationalpark Vadehavet, nationalparkvadehavet;2287;0;2287;17850;230;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Nordstern, nordstern;0;0;0;0;368;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dante Alighieri Sydøst, dante-sydost;268;248;20;5261;23;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Lemvig Børne- og Ungdomsfilmklub, lemvig-boerne-og;30;30;0;450;3;;;;;;;;;;;;;;;;;;;;;
2025.01.01;ITEQ, iteq;252;252;0;4250;379;;;;;;;;;;;;;;;;;;;;;
2025.01.01;S-Huset, pf;12260;0;12260;134700;1347;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Vejle, kod-vejle;3929;0;3929;70300;209;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DJ Kreds 3, dj-kreds3;1108;0;1108;13250;106;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Bridgeforbund, dbf;31561;0;31561;1011575;2420;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Aktiv i Forening 4160, aif4160;2642;0;2642;12430;288;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Be Moved By Thea, theamovesvtheajulierasmussen;1172;0;1172;12715;110;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Nordvestjysk Lederforum, nvlf;0;0;0;0;191;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Mette Oscar, groovemedmette;5418;0;5418;122947;334;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Biffen Odder, biffen-odder;1073;1073;0;9500;118;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DJ Kreds 4, dj-kreds4;387;0;387;4625;37;;;;;;;;;;;;;;;;;;;;;
2025.01.01;InstallatørPartner, inp;1244;0;1244;25168;124;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Ramsø Hallen, ramsoehallen;9642;0;9642;174400;436;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Studenterhus Aarhus, studenterhusaarhus;29019;8534;20484;302080;4616;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Support Mombasa, support-mombasa;275;275;0;5280;12;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Copenhagen Marriott Hotel, copenhagenmarriotthotel;0;0;0;0;8;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Vestenskov-Kappel jagtforening, vkj;528;0;528;7950;42;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Siff Connect, siffconnect;366;0;366;6120;25;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kulturteamet i Wonderful Copenhagen, kultur;0;0;0;0;102;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Meetingplace, meetingplace;0;0;0;0;192;;;;;;;;;;;;;;;;;;;;;
2025.01.01;El Cambio Academy, eca;167;0;167;2739;11;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dølle, doelle;56;0;56;648705;359;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Jægerforbund Kreds 7, dj-kreds7;5371;0;5371;89340;372;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dansk Generationsskifte, danskgenerationsskifte;360;0;360;0;40;;;;;;;;;;;;;;;;;;;;;
